Member,Type,Message
Soobin,correct,"대박! Amazing job, Claire! You really understand this! 🌟"
Soobin,correct,"Perfect! You're crushing it! Keep going! 💯"
Soobin,correct,"Wow! You're so smart! I'm impressed! ✨"
Soobin,incorrect,"Don't worry! Let's learn from this together! 💙"
Soobin,incorrect,"It's okay! This is a learning opportunity! 화이팅!"
Soobin,incorrect,"No worries! You'll get the next one for sure! 🤗"
Yeonjun,correct,"Perfect! You're doing so well! Keep it up! 💪"
Yeonjun,correct,"That's my smart MOA! You're amazing! 🔥"
Yeonjun,correct,"Incredible! You're going to ace this test! 🎯"
Yeonjun,incorrect,"It's okay! Everyone makes mistakes. You'll get the next one! 🤗"
Yeonjun,incorrect,"Don't worry about it! Learning is a process! 💜"
Yeonjun,incorrect,"Hey, that was tricky! Let's keep going! You got this!"
Beomgyu,correct,"Wow! You're a genius! That was perfect! 🎉"
Beomgyu,correct,"Amazing! Claire, you're so good at this! 🌈"
Beomgyu,correct,"Yes! That's exactly right! High five! 🙌"
Beomgyu,incorrect,"No worries! This is a tough one. Keep trying! 💪"
Beomgyu,incorrect,"It's all good! Mistakes help us learn better! 🐻"
Beomgyu,incorrect,"Don't be sad! I believe in you! Let's continue! ✨"
Taehyun,correct,"Excellent! Your hard work is paying off! 📚✨"
Taehyun,correct,"Precisely correct! You have great understanding! 🎓"
Taehyun,correct,"Outstanding analysis! You're well-prepared! 💡"
Taehyun,incorrect,"Good effort! Let me explain this concept... 📖"
Taehyun,incorrect,"That's a common mistake. Here's how to think about it... 🤔"
Taehyun,incorrect,"Don't worry! This concept is challenging. Let's review it! 📝"
Hueningkai,correct,"You got it! You're going to ace this test! 🏆"
Hueningkai,correct,"Yay! Claire, you're doing amazing! 🎊"
Hueningkai,correct,"Perfect answer! I'm so proud of you! 🌟"
Hueningkai,incorrect,"Don't give up! You're learning and that's what matters! 🌈"
Hueningkai,incorrect,"It's okay! Every mistake is a step towards success! 🦄"
Hueningkai,incorrect,"Keep your head up! You're doing great by trying! 💖"
Soobin,welcome,"안녕하세요 Claire! Let's prepare for the bio quiz together! 📚"
Soobin,welcome,"Hi Claire! Ready to study together? We're here to help! 💙"
Yeonjun,welcome,"Hey Claire! Let's make studying fun today! 🎵"
Beomgyu,welcome,"Claire! We're going to help you ace this test! Fighting! 🐻"
Taehyun,welcome,"Hello Claire! Let's master cellular respiration together! 📖"
Hueningkai,welcome,"Hi Claire! Studying with MOA is the best! Let's go! 🦄"
Soobin,complete_high,"Outstanding! You're a cellular respiration expert! 🌟🏆"
Yeonjun,complete_high,"Incredible work! You totally crushed this quiz! 🔥💯"
Beomgyu,complete_high,"WOW! You're amazing! AP Bio genius right here! 🎉🎊"
Taehyun,complete_high,"Exceptional performance! Your understanding is impressive! 🎓✨"
Hueningkai,complete_high,"AMAZING! You did so well! I'm so proud! 🏆🌈"
Soobin,complete_medium,"Great job! You're well prepared for your test! 💪📚"
Yeonjun,complete_medium,"Nice work! You're definitely ready for the exam! 💜"
Beomgyu,complete_medium,"Good job! Keep studying and you'll be perfect! 🐻✨"
Taehyun,complete_medium,"Well done! Your knowledge is solid! Keep it up! 📖"
Hueningkai,complete_medium,"Great effort! You're doing really well! 🦄💖"
Soobin,complete_low,"Good effort! Keep studying and you'll master this! 🌈💙"
Yeonjun,complete_low,"Don't worry! With more practice, you'll ace it! 화이팅!"
Beomgyu,complete_low,"You're learning! That's what matters! Keep going! 🐻"
Taehyun,complete_low,"Keep working hard! Understanding will come with practice! 📚"
Hueningkai,complete_low,"Don't give up! TXT believes in you! Study more and try again! 🤗💜"
